rank,title,brand,search_term,rating,no_of_reviews,year,month,day,hour,minute
250,"Honey Nut Cheerios Medley Crunch Cereal, 13.1 oz",Cheerios,cereal,4.5,40,2015,12,7,20,32
251,"Star Wars Cereal, 10.5 oz",Other,cereal,4.5,0,2015,12,7,20,32
252,"Cheerios Gluten Free Cereal, 8.9 oz",Cheerios,cereal,4.5,45,2015,12,7,20,32
253,"Cocoa Pebbles Cereal, 11 oz",Other,cereal,5,2,2015,12,7,20,32
254,"Kellogg's Corn Flakes Cereal, 18 oz",Kellogg's,cereal,4.5,46,2015,12,7,20,32
255,"Lucky Charms Cereal, 16 oz, 2 count",Other,cereal,4,1,2015,12,7,20,32
256,"Fiber One Lightly Sweetened Wheat & Bran Flakes Cereal, 17.25 Oz",Other,cereal,4.5,16,2015,12,7,20,32
257,"Honey Nut Cheerios Gluten Free Cereal, 17 oz",Cheerios,cereal,5,207,2015,12,7,20,32
258,"Great Value Corn Flakes Cereal, 18 oz",Other,cereal,4,19,2015,12,7,20,32
259,"Kellogg's Froot Loops Marshmallow Sweetened Multi-Grain Cereal, 12.6 Oz",Kellogg's,cereal,5,3,2015,12,7,20,32
260,"Post Fruity Pebbles Treats Cereal Squares, 0.78 oz, 8 count",Post,cereal,4.5,5,2015,12,7,20,32
261,"Bear Naked Chocolate Elation 100% Natural Granola, 12 oz",Other,cereal,5,1,2015,12,7,20,32
262,"Bear Naked Fit Vanilla Almond Crunch Granola, 12 oz",Other,cereal,4.5,14,2015,12,7,20,32
263,"Kellogg's Frosted Mini-Wheats Little Bites Chocolate Cereal, 15.2 oz",Kellogg's,cereal,4.5,12,2015,12,7,20,32
264,"Kellogg's Frosted Mini-Wheats Bite Size Cereal, 18 oz",Kellogg's,cereal,4.5,19,2015,12,7,20,32
265,"Kellogg's Frosted Flakes Chocolate Cereal, 14.7 oz",Kellogg's,cereal,5,4,2015,12,7,20,32
266,"Malt-O-Meal Frosted Mini Spooners Cereal, 27 oz",Other,cereal,5,0,2015,12,7,20,32
267,"Kellogg's Special K Oats & Honey Cereal, 13.1 oz",Kellogg's,cereal,5,52,2015,12,7,20,32
268,"Great Value Toasted Wheat Cereal, 14 oz",Other,cereal,5,10,2015,12,7,20,32
269,"Malt-O-Meal Corn Bursts Cereal, 37.5 oz",Other,cereal,5,2,2015,12,7,20,32
270,"Kellogg's Special K Vanilla Almond Cereal, 12.4 oz",Kellogg's,cereal,5,86,2015,12,7,20,32
271,"Nutritious Living Hi Lo Vanilla Almond Cereal, 10 oz (Pack of 6)",Other,cereal,5,1,2015,12,7,20,32
272,"Cap'n Crunch Oops! All Berries Cereal, 15.4 oz",Other,cereal,4.5,10,2015,12,7,20,32
273,"Kellogg's Rice Krispies Cereal, 12 oz",Kellogg's,cereal,5,60,2015,12,7,20,32
274,"Cascadian Farm Organic Oats and Honey Granola, 16 oz",Other,cereal,4.5,71,2015,12,7,20,32
275,"General Mills Breakfast Pack, 9.14 oz",Other,cereal,5,1,2015,12,7,20,32
276,"Malt-O-Meal Golden Puffs Cereal, 23 oz",Other,cereal,4.5,9,2015,12,7,20,32
277,"Post Alpha-Bits Multigrain Cereal, 12 oz",Post,cereal,4.5,11,2015,12,7,20,32
278,"Erewhon Gluten Free Crispy Brown Rice 100% Whole Grain Cereal, 10 oz (Pack of 12)",Other,cereal,3.5,3,2015,12,7,20,32
279,"Cinnamon Toast Crunch Cereal, 16.2 oz",Other,cereal,4.5,34,2015,12,7,20,32
280,"Kellogg's Special K Chocolatey Strawberry Cereal, 14.5 oz",Kellogg's,cereal,4.5,73,2015,12,7,20,32
281,"Kellogg's Jif Peanut Butter Cereal, 9.1 oz",Kellogg's,cereal,4.5,0,2015,12,7,20,32
282,"Kellogg's Frosted Mini-Wheats Maple Brown Sugar Whole Grain Cereal, 21 oz",Kellogg's,cereal,4.5,5,2015,12,7,20,32
283,"Bob's Red Mill 10 Grain Hot Cereal, 25 oz (Pack of 4)",Other,cereal,4.5,7,2015,12,7,20,32
284,"Kellogg's Special K Cinnamon Pecan Cereal, 12.1 oz",Kellogg's,cereal,5,94,2015,12,7,20,32
285,"Kellogg's Original Special K Cereal, 12 oz",Kellogg's,cereal,5,108,2015,12,7,20,32
286,"Bob's Red Mill Oat Bran Hot Cereal, 18 oz, (Pack of 4)",Other,cereal,5,5,2015,12,7,20,32
287,"Honey Nut Cheerios Cereal Cups, 6ct",Cheerios,cereal,3.5,3,2015,12,7,20,32
288,"Trix Cereal, 14.8 oz",Other,cereal,4.5,18,2015,12,7,20,32
289,"Kellogg's Apple Jacks Cereal, 12.2 oz",Kellogg's,cereal,4.5,53,2015,12,7,20,32
290,"Kellogg's Raisin Bran Cereal, 14.3 oz",Kellogg's,cereal,4.5,9,2015,12,7,20,32
291,"Barbara's Original High Fiber Cereal, 12 oz (Pack of 6)",Other,cereal,4.5,0,2015,12,7,20,32
292,"Reese's Puffs Cereal, 18 oz",Other,cereal,4.5,19,2015,12,7,20,32
293,"Nutritious Living Hi-Lo Original Flavor Cereal, 12 oz (Pack of 6)",Other,cereal,5,5,2015,12,7,20,32
294,"Kellogg's Apple Jacks Cereal, 17 oz",Kellogg's,cereal,4.5,53,2015,12,7,20,32
295,"Kellogg's Frosted Mini-Wheats Little Bites Original Cereal, 15.2 oz",Kellogg's,cereal,5,14,2015,12,7,20,32
296,"Bob's Red Mill Organic Whole Grain Creamy Buckwheat Hot Cereal, 18 oz (Pack of 4)",Other,cereal,4.5,3,2015,12,7,20,32
297,"Kellogg's Assorted Cereal Fun Pack, 8 ct",Kellogg's,cereal,5,11,2015,12,7,20,32
298,"Hershey's Cookies 'n' Creme Cereal, 10.9 oz",Other,cereal,4,12,2015,12,7,20,32
299,"Cascadian Farm Organic Cinnamon Raisin Granola, 15.6 oz",Other,cereal,4.5,71,2015,12,7,20,32
300,"Kellogg's Frosted Flakes Cereal, 19 oz",Kellogg's,cereal,4.5,117,2015,12,7,20,32
301,"Maltex Hot Wheat Cereal, 20 oz (Pack of 12)",Other,cereal,4,9,2015,12,7,20,32
302,"Malt-O-Meal S'mores Cereal, 33 oz",Other,cereal,5,5,2015,12,7,20,32
303,"Kellogg's Froot Loops Bloopers Cereal, 9.3 oz",Kellogg's,cereal,5,7,2015,12,7,20,32
304,"Kellogg's Apple Jacks with Marshmallows Cereal, 12.6 oz",Kellogg's,cereal,4.5,11,2015,12,7,20,32
305,"Kellogg's Krave Chocolate Cereal, 11.4 oz",Kellogg's,cereal,4.5,9,2015,12,7,20,32
306,"Malt-O-Meal Original Hot Wheat Cereal, 36 Oz",Other,cereal,4.5,38,2015,12,7,20,32
307,"Arrowhead Mills Puffed Wheat Cereal, 6 oz (Pack of 12)",Other,cereal,3.5,3,2015,12,7,20,32
308,"Cinnamon Toast Crunch, 20.25 oz",Other,cereal,5,60,2015,12,7,20,32
309,"Great Value Shredded Wheat Cereal, 16.4 oz",Other,cereal,4,1,2015,12,7,20,32
310,"Wild Oats Marketplace Organic Honey Nut Toasted Oats Cereal, 12.25 oz",Other,cereal,5,2,2015,12,7,20,32
311,"Reese's Puffs Cereal, 13 oz",Other,cereal,4.5,19,2015,12,7,20,32
312,"Great Value Fruit & Cream Variety Pack Instant Oatmeal, 20 count, 24.6 oz",Other,cereal,4.5,73,2015,12,7,20,32
313,"Kellogg's Cocoa Krispies Cereal, 20.5 oz",Kellogg's,cereal,4.5,3,2015,12,7,20,32
314,"Kellogg's Frosted Flakes Cereal, 10.5 oz",Kellogg's,cereal,4.5,117,2015,12,7,20,32
315,"Cream Of Wheat Variety Pk 10 Ct Instant Hot Cereal, 11.4 Oz",Other,cereal,4.5,0,2015,12,7,20,32
316,"Cap'n Crunch's Crunch Berries Sweetened Corn & Oat Cereal, 40 oz",Other,cereal,5,1,2015,12,7,20,32
317,"Cocoa Puffs Cereal, 16.5 oz",Other,cereal,5,3,2015,12,7,20,32
318,"Cheerios + Ancient Grains Cereal, 11.6 oz",Cheerios,cereal,4.5,38,2015,12,7,20,32
319,"Bob's Red Mill 7-Grain Cereal, 25 oz (Pack of 4)",Other,cereal,5,5,2015,12,7,20,32
320,"General Mills Crunchy Almond Oatmeal Crisp Cereal, 17 oz",Other,cereal,5,16,2015,12,7,20,32
321,"Cascadian Farm Organic Purely O's Cereal, 8.6 oz, (Pack of 12)",Other,cereal,5,0,2015,12,7,20,32
322,"General Mills Basic 4 Cereal, 16 oz",Other,cereal,4.5,27,2015,12,7,20,32
323,"Bob's Red Mill Scottish Oatmeal Cereal, 20 oz (Pack of 4)",Other,cereal,4.5,5,2015,12,7,20,32
324,"Great Value Strawberry Awake Cereal, 11.2 oz",Other,cereal,4,4,2015,12,7,20,32
325,"Great Value Apple Blasts Cereal, 17 oz",Other,cereal,3.5,3,2015,12,7,20,32
326,"Kellogg's Corn Pops Cereal, 12.5 oz",Kellogg's,cereal,4.5,31,2015,12,7,20,32
327,"Great Value Maple & Brown Sugar Instant Oatmeal, 20 count, 30.2 oz",Other,cereal,5,37,2015,12,7,20,32
328,"Kellogg's Corn Flakes Cereal, 12 Oz",Kellogg's,cereal,4.5,46,2015,12,7,20,32
329,"Health Valley Organic Oat Bran Flakes Cereal, 12.65 oz (Pack of 6)",Other,cereal,4,4,2015,12,7,20,32
330,"Heartland Original Granola Cereal, 16 oz, (Pack of 6)",Other,cereal,5,2,2015,12,7,20,32
331,"Weetabix Whole Grain Cereal, 14 oz, (Pack of 12)",Other,cereal,5,1,2015,12,7,20,32
332,"Kellogg's Good Food To Go! Frosted Flakes Cereal Cups, 6ct",Kellogg's,cereal,5,3,2015,12,7,20,32
333,"Kellogg's Corn Pops Cereal, 17.2 oz",Kellogg's,cereal,4.5,31,2015,12,7,20,32
334,"Cap'n Crunch Sweetened Corn & Oat Cereal, 28 oz",Other,cereal,4.5,22,2015,12,7,20,32
335,"Cap'n Crunch Sweetened Corn & Oat Cereal, 40 oz",Other,cereal,5,3,2015,12,7,20,32
336,"Ezekiel 4:9 Whole Grain Cereal, 16 oz (Pack of 6)",Other,cereal,5,2,2015,12,7,20,32
337,"Chex Mixed Berry Almond Gluten Free Granola Mix, 11 oz",Other,cereal,4.5,29,2015,12,7,20,32
338,"Great Value Oven-Toasted Old Fashioned Oats, 42 Oz",Other,cereal,4.5,57,2015,12,7,20,32
339,"Bob's Red Mill Muesli Cereal, 16 oz, (Pack of 4)",Other,cereal,4.5,4,2015,12,7,20,32
340,"General Millls Cookie Crisp Chocolate Chip Cookies Cereal, 15.6 oz",Other,cereal,4.5,18,2015,12,7,20,32
341,"Barbara's Vanilla Almond Shredded Oats Cereal, 14 oz (Pack of 6)",Other,cereal,4.5,0,2015,12,7,20,32
342,"Quaker Oat Bran Hot Cereal, 16 oz (Pack of 12)",Other,cereal,5,17,2015,12,7,20,32
343,"Malt-O-Meal Honey Graham Squares Cereal, 33 Oz",Other,cereal,4.5,19,2015,12,7,20,32
344,"Hodgson Mill Oat Bran All Natural Hot Cereal, 16 oz (Pack of 12)",Other,cereal,5,1,2015,12,7,20,32
345,"Golden Grahams Honey Graham Cereal, 16 oz",Other,cereal,5,34,2015,12,7,20,32
346,"Kellogg's Good Food To Go! Raisin Bran Crunch Cereal Cups, 6ct",Kellogg's,cereal,5,1,2015,12,7,20,32
347,"Quaker Quick Oatmeal, 18 oz",Other,cereal,4,57,2015,12,7,20,32
348,"Cap'n Crunch's Caramel Popcorn Crunch Sweetened Corn & Oat Cereal, 16.2 oz",Other,cereal,4,1,2015,12,7,20,32
349,"Malt-O-Meal Coco Dyno-Bites Cereal, 22.5 oz",Other,cereal,5,4,2015,12,7,20,32
350,"Ezekiel 4:9 Almond Sprouted Whole Grain Cereal, 16 oz, (Pack of 6)",Other,cereal,4,1,2015,12,7,20,32
351,"Chex Clusters Fruit & Oats Cereal, 13.4 oz",Other,cereal,5,1,2015,12,7,20,32
352,"Arrowhead Mills Puffed Kamut Cereal, 170 g (Pack of 12)",Other,cereal,5,0,2015,12,7,20,32
353,"Uncle Sam Original Cereal, 10 oz (Pack of 12)",Other,cereal,5,6,2015,12,7,20,32
354,"Malt-O-Meal Mini Spooners Frosted Whole Grain Wheat Cereal, 18 oz",Other,cereal,4.5,7,2015,12,7,20,32
355,"Kellogg's Special K Apple Cinnamon Crunch Cereal, 12.4 oz",Kellogg's,cereal,4,1,2015,12,7,20,32
356,"Great Value Oven-Toasted Quick Oats, 42 Oz",Other,cereal,4.5,63,2015,12,7,20,32
357,"Quaker Peaches & Cream Instant Oatmeal, 10 Ct/12.3 Oz",Other,cereal,4.5,42,2015,12,7,20,32
358,"Dora the Explorer Lightly Sweetened Cinnamon Corn Puffs Cereal, 18 oz",Other,cereal,4.5,0,2015,12,7,20,32
359,"CoCo Wheats Hot Cereal, 28 oz",Other,cereal,5,9,2015,12,7,20,32
360,"Malt-O-Meal Peanut Butter Cups Cereal, 36 oz",Other,cereal,5,1,2015,12,7,20,32
361,"Quaker Apples & Cinnamon Instant Oatmeal, 1.51 oz, 10 count",Other,cereal,4.5,41,2015,12,7,20,32
362,"Wolff?€?s Cream of Buckwheat Hot Cereal, 13 oz, (Pack of 6)",Other,cereal,5,3,2015,12,7,20,32
363,"Post Fruity Pebbles Seasoned Rice Cereal, 15 oz",Post,cereal,5,7,2015,12,7,20,32
364,"Quaker Flavor Variety Instant Oatmeal, 10 count, 15.1 oz",Other,cereal,4.5,1114,2015,12,7,20,32
365,"Quaker Maple & Brown Sugar Instant Oatmeal, 10 Ct/15.1 Oz",Other,cereal,3.5,91,2015,12,7,20,32
366,"Skinner's Raisin Bran Cereal, 13 oz (Pack of 12)",Other,cereal,3.5,0,2015,12,7,20,32
367,"Arrowhead Mills Puffed Corn Cereal, 6 oz, (Pack of 12)",Other,cereal,5,1,2015,12,7,20,32
368,"Quaker Original Instant Oatmeal, 0.98 oz, 12 count",Other,cereal,5,28,2015,12,7,20,32
369,"Nature's Path Organic Heritage Flakes Cereal, 13.25 oz, (Pack of 6)",Other,cereal,5,2,2015,12,7,20,32
370,"Dorset Cereals Simply Delicious Muesli, 12 oz, (Pack of 5)",Other,cereal,4.5,3,2015,12,7,20,32
371,"Malt-O-Meal Colossal Crunch Cereal, 38.5 oz",Other,cereal,4.5,0,2015,12,7,20,32
372,"Malt-O-Meal Raisin Bran Clusters Cereal, 40 oz",Other,cereal,4.5,0,2015,12,7,20,32
373,"Nature's Path Organic Optimum Slim Low Fat Vanilla Cereal, 14 oz, (Pack of 6)",Other,cereal,4.5,0,2015,12,7,20,32
374,"Bob's Red Mill Cracked Wheat Whole Grain Hot Cereal, 24 oz (Pack of 4)",Other,cereal,5,1,2015,12,7,20,32
375,Quaker Lower Sugar Maple/Brown Sugar Instant Oatmeal,Other,cereal,3.5,86,2015,12,7,20,32
376,"Heartland Granola Raisin Cereal, 16 oz (Pack of 6)",Other,cereal,3.5,0,2015,12,7,20,32
377,"Mother's Peanut Butter Bumpers Crunchy Corn Cereal, 12.3 oz, (Pack of 7)",Other,cereal,5,1,2015,12,7,20,32
378,"Kellogg's Assorted Cereal Variety Pack, 10 count, 9.63 oz",Kellogg's,cereal,5,0,2015,12,7,20,32
379,"Bob's Red Mill Organic Oat Bran High Fiber Hot Cereal, 18 oz (Pack of 4)",Other,cereal,5,0,2015,12,7,20,32
380,"Life Cinnamon Cereal, 21.6 oz",Other,cereal,5,0,2015,12,7,20,32
381,"Envirokidz Organic Amazon Frosted Flakes Cereal, 14 oz (Pack of 6)",Other,cereal,5,0,2015,12,7,20,32
382,"Malt-O-Meal Marshmallow Mateys Cereal, 24 oz",Other,cereal,5,0,2015,12,7,20,32
383,"Chocolate Toast Crunch Cereal, 21.5 oz",Other,cereal,5,0,2015,12,7,20,32
384,"Cascadian Farm Organic Chocolate Lover's Granola, 11.2 oz",Other,cereal,5,0,2015,12,7,20,32
385,"Post Cocoa Pebbles Cereal, 15 oz",Post,cereal,5,2,2015,12,7,20,32
386,"Quaker Steel Cut Oats, 30 oz",Other,cereal,4.5,88,2015,12,7,20,32
387,Kashi Cereal Bundle (Pick 2),Kashi,cereal,4.5,0,2015,12,7,20,32
388,"Nature's Path Organic Optimum Power Blueberry Cinnamon Flax Cereal, 14 oz, (Pack of 6)",Other,cereal,5,2,2015,12,7,20,32
389,"Quaker 100% Whole Grain Oatmeal, 42 oz",Other,cereal,4,43,2015,12,7,20,32
390,"Honey Bunches Of Oats Honey Roasted, 27 oz",Other,cereal,1,1,2015,12,7,20,32
391,Special K Cereal Bundle (Pick 2),Other,cereal,1,0,2015,12,7,20,32
392,"Cascadian Farm Organic Honey Oat Crunch Cereal, 13.5 oz",Other,cereal,1,0,2015,12,7,20,32
393,"Quaker Cinnamon & Spice Instant Oatmeal, 10 ct",Other,cereal,5,15,2015,12,7,20,32
394,"Kellogg's Good Food To Go! Frosted Mini Wheats Cereal Cups, 6ct",Kellogg's,cereal,1,1,2015,12,7,20,32
395,"Nestum 5 Cereals, 10.6 oz",Other,cereal,1,0,2015,12,7,20,32
396,"Malt-O-Meal Cinnamon Toasters Cereal, 24.3 oz",Other,cereal,1,0,2015,12,7,20,32
397,"Lucky Charms Cereal Cups, 6ct",Other,cereal,1,0,2015,12,7,20,32
398,"Mother's Oat Bran Hot Cereal, 16 oz (Pack of 6)",Other,cereal,5,1,2015,12,7,20,32
399,"Nature's Path Flax Plus Pumpkin Raisin Crunch Cereal, 12.35 oz (Pack of 6)",Other,cereal,5,1,2015,12,7,20,32
400,"Kellogg's Special K Chocolatey Pretzel Cereal Bars, 6 count, 4.6 oz",Kellogg's,cereal,5,33,2015,12,7,20,32
401,"Quaker Strawberries & Cream Instant Oatmeal, 10 Ct/12.3 Oz",Other,cereal,4.5,45,2015,12,7,20,32
402,"Multi Grain Cheerios Gluten Free Cereal, 12 oz",Cheerios,cereal,5,10,2015,12,7,20,32
403,"Bob's Red Mill Gluten Free Mighty Tasty Hot Cereal, 24 oz, (Pack of 4)",Other,cereal,4,2,2015,12,7,20,32
404,"Kellogg's Good Food To Go! Froot Loops Cereal Cups, 6ct",Kellogg's,cereal,4,0,2015,12,7,20,32
405,"Malt-O-Meal Fruity Dyno-Bites Cereal, 22.5 oz",Other,cereal,4.5,2,2015,12,7,20,32
406,"Eco-Planet Instant Original Hot Cereal, 1.41 oz, 6ct (Pack of 6)",Other,cereal,5,1,2015,12,7,20,32
407,"Malt-O-Meal Frosted Flakes Cereal, 28.5 oz",Other,cereal,5,1,2015,12,7,20,32
408,"Eco-Planet Maple & Brown Sugar Instant Hot Cereal, 8.46 oz (Pack of 6)",Other,cereal,5,1,2015,12,7,20,32
409,"Bob's Red Mill 5 Grain Plus Flaxseed Hot Cereal, 16 oz (Pack of 4)",Other,cereal,5,6,2015,12,7,20,32
410,"Kellogg's Froot Loops Fruity Golden Bars Sweetened Multi-Grain Cereal, 12.2 oz",Kellogg's,cereal,5,63,2015,12,7,20,32
411,"Peace Cereal Mango Peach Passion Cereal, 10 oz (Pack of 6)",Other,cereal,5,1,2015,12,7,20,32
412,"Kellogg's Frosted Mini-Wheats Pumpkin Spice Cereal, 15.5 oz",Kellogg's,cereal,5,0,2015,12,7,20,32
413,"Kashi Organic Promise Simply Maize Cereal, 10.5 oz",Kashi,cereal,5,0,2015,12,7,20,32
414,"Malt-O-Meal Hot Wheat Cereal Chocolate, 36oz",Other,cereal,5,21,2015,12,7,20,32
415,"Quaker Real Medleys Dark Chocolate Cranberry Almond Granola Cereal, 11 oz",Other,cereal,5,1,2015,12,7,20,32
416,"Nature's Path Organic EnviroKidz Koala Crisp Chocolate Cereal, 11.5 oz (Pack of 6)",Other,cereal,4.5,2,2015,12,7,20,32
417,"Kashi 7 Whole Grain Puffs Cereal, 6.5 oz, (Pack of 10)",Kashi,cereal,4.5,0,2015,12,7,20,32
418,"Cinnamon Toast Crunch Cereal Cups, 6ct",Other,cereal,5,1,2015,12,7,20,32
419,"Ella's Kitchen Wakey Wakey Mango, Banana + Strawberry Baby Cereal, 5.3 oz",Other,cereal,4.5,4,2015,12,7,20,32
420,"Post Honey Graham Oh's Cereal, 10.5 oz",Post,cereal,5,10,2015,12,7,20,32
421,"Kellogg's Froot Loops Cereal, 8.7 oz",Kellogg's,cereal,5,0,2015,12,7,20,32
422,"Quaker Quick 3-Minute Steel Cut Oats, 25 oz",Other,cereal,3.5,59,2015,12,7,20,32
423,"Quaker Butter Flavor Instant Grits, 12 oz",Other,cereal,4.5,30,2015,12,7,20,32
424,"Kellogg's All-Bran Complete Wheat Flakes Cereal, 18 oz",Kellogg's,cereal,4.5,0,2015,12,7,20,32
425,"Nature's Path Organic Millet Rice Cereal With Oatbran, 32 oz (Pack of 6)",Other,cereal,4.5,0,2015,12,7,20,32
426,"Kashi Golean Crunch Cereal Cup, 2.3 oz (Pack of 12)",Kashi,cereal,4.5,0,2015,12,7,20,32
427,"Quaker Weight Control Instant Oatmeal Variety Pack, 12.6 oz",Other,cereal,4,50,2015,12,7,20,32
428,"DreamWorks Madagascar Smores Jungle Party Cereal, 14.5 oz",Other,cereal,5,7,2015,12,7,20,32
429,"Quaker Dinosaur Eggs Brown Sugar Instant Oatmeal, 1.76 oz, 8 count",Other,cereal,5,12,2015,12,7,20,32
430,"Heartland Steel Cut Oats Cereal, 24 oz (Pack of 6)",Other,cereal,5,0,2015,12,7,20,32
431,"Quaker Variety Pack: Maple & Brown Sugar, Cinnamon & Spice, and Apples & Cinnamon Instant Oatmeal,",Other,cereal,4.5,27,2015,12,7,20,32
432,"Nature's Path Organic Maple Pecan Flax Cereal, 11.5 oz (Pack of 6)",Other,cereal,4.5,0,2015,12,7,20,32
433,"Kellogg's Origins Fruit & Seed Muesli Raisin Apricot Cranberry with Pumpkin Seeds Cereal, 14.1 oz",Kellogg's,cereal,4.5,0,2015,12,7,20,32
434,"Honey Nut Cheerios Cereal, 17 oz, 2 ct",Cheerios,cereal,4.5,0,2015,12,7,20,32
435,"Kellogg's Origins Ancient Grains Granola Cranberry Almond with Pumpkin Seeds Cereal, 12.5 oz",Kellogg's,cereal,4.5,0,2015,12,7,20,32
436,"Kellogg's Origins Ancient Grains Blend Cereal, 11.8 oz",Kellogg's,cereal,4.5,0,2015,12,7,20,32
437,"Kellogg's Frosted Flakes with Energy Clusters Cereal, 12.1 oz",Kellogg's,cereal,4.5,0,2015,12,7,20,32
438,"Kellogg's Krave Chocolate Cereal Pouches, 0.67 oz, 8 count",Kellogg's,cereal,4.5,0,2015,12,7,20,32
439,"Great Value Cinnamon Crunchy Oat Squares Cereal, 18 oz",Other,cereal,4.5,0,2015,12,7,20,32
440,"Malt-O-Meal Cocoa Dyno-Bites with Marshmallow Cereal, 38 oz",Other,cereal,5,2,2015,12,7,20,32
441,"Kellogg's Frosted Mini-Wheats Maple Brown Sugar Cereal, 15.5 oz",Kellogg's,cereal,4,4,2015,12,7,20,32
442,"Quaker Weight Control Maple Instant Oatmeal, 8 ct/12.6 oz",Other,cereal,4,100,2015,12,7,20,32
443,"Weight Watchers Frosted Shredded Wheat with Protein Cereal, 15.5 oz",Other,cereal,5,2,2015,12,7,20,32
444,"Quaker High Fiber Maple And Brown Sugar Instant Oatmeal, 8ct",Other,cereal,3.5,28,2015,12,7,20,32
445,"Weight Watchers Oat Clusters with Almonds Cereal, 14 oz",Other,cereal,3.5,0,2015,12,7,20,32
446,"Nature's Path Organic Crunchy Vanilla Cereal, 10.6 oz (Pack of 6)",Other,cereal,3.5,0,2015,12,7,20,32
447,"Quaker Honey Almond Warm & Crunchy Granola, 1.69 oz, 8 count",Other,cereal,4.5,55,2015,12,7,20,32
448,"Malt-O-Meal Fruity Dyno-Bites with Marshmallows Cereal, 38 oz",Other,cereal,4.5,0,2015,12,7,20,32
449,"Weight Watchers Oat Clusters with Cherries & Almonds Cereal, 14 oz",Other,cereal,5,1,2015,12,7,20,32
450,"Kellogg's All-Bran Original Cereal, 18.3 oz, (Pack of 12)",Kellogg's,cereal,5,1,2015,12,7,20,32
451,"Cascadian Farm Organic Fruit and Nut Granola, 1.75 oz, 5 ct",Other,cereal,1,1,2015,12,7,20,32
452,Arrowhead Mills 52031-3pack Arrowhead Mills Puffed Brown Rice Cereal - 3x6 oz.,Other,cereal,1,0,2015,12,7,20,32
453,"Kellogg's Origins Ancient Grains Granola Raisin Apple Cereal, 12.5 oz",Kellogg's,cereal,1,0,2015,12,7,20,32
454,"Malt-O-Meal Scooters Cereal, 36 oz",Other,cereal,1,0,2015,12,7,20,32
455,"Kellogg's Origins Fruit & Nut Blend Cranberry Walnut Cereal, 12.9 oz",Kellogg's,cereal,1,0,2015,12,7,20,32
456,"Kashi Organic Promise Autumn Wheat Whole Wheat Biscuits Cereal, 16.3 oz, (Pack of 12)",Kashi,cereal,1,0,2015,12,7,20,32
457,"Bob's Red Mill Whole Grain Hot Cereal, 27 oz (Pack of 4)",Other,cereal,5,1,2015,12,7,20,32
458,"Mother's Toasted Oat Bran Cereal, 12.5 oz, (Pack of 6)",Other,cereal,5,5,2015,12,7,20,32
459,"Dorset Cereals Berries & Cherries Muesli, 11.46 oz, (Pack of 5)",Other,cereal,5,0,2015,12,7,20,32
460,"Franken Berry Cereal, 15.7 oz",Other,cereal,4.5,10,2015,12,7,20,32
461,Kellogg's Cereal Bundle (Pick 2),Kellogg's,cereal,4.5,0,2015,12,7,20,32
462,"Weight Watchers Whole Grain Honey Nut Toasted Oats Cereal, 12.3 oz",Other,cereal,4.5,0,2015,12,7,20,32
463,"Quaker Oats Old Fashioned Oats, 18 oz",Other,cereal,4,204,2015,12,7,20,32
464,"Kellogg's Corn Flakes Cereal, 36 oz, (Pack of 6)",Kellogg's,cereal,4,0,2015,12,7,20,32
465,"Post Bite Size Shredded Wheat Crunch! Cereal, 18.25 oz",Post,cereal,3.5,3,2015,12,7,20,32
466,"Great Value Vanilla Almond Awake Cereal, 12.4 oz",Other,cereal,3.5,0,2015,12,7,20,32
467,"Quaker Blueberries & Cranberries Steel Cut Quick 3-Minute Oatmeal, 1.62 oz, 8 count",Other,cereal,4.5,4,2015,12,7,20,32
468,"Post Honey Bunches of Oats Whole Grain Honey Crunch Cereal, 18 oz",Post,cereal,4.5,0,2015,12,7,20,32
469,Uncle Sam 52013-3pack Uncle Sam Cereal Uncle Sam Cereal -3x10 Oz.,Other,cereal,5,1,2015,12,7,20,32
470,"Quaker Original Flavor Instant Grits, 12 oz",Other,cereal,4.5,61,2015,12,7,20,32
471,"Nature's Path Organic Mesa Sunrise Cereal, 26.4 oz",Other,cereal,5,3,2015,12,7,20,32
472,"Kellogg's Special K Cranberry Granola Cereal, 10.6 oz",Kellogg's,cereal,5,0,2015,12,7,20,32
473,"Bob's Red Mill Creamy Rice Hot Cereal, 26 oz (Pack of 4)",Other,cereal,5,4,2015,12,7,20,32
474,"Kellogg's Frosted Flakes Cereal, 15 oz, (Pack of 3)",Kellogg's,cereal,5,0,2015,12,7,20,32
475,QUAKER 49290 QUAKER CEREAL QUISP - Case of 12 - 8. 5 OZ,Other,cereal,5,0,2015,12,7,20,32
476,"Envirokidz Organic Peanut Butter And Chocolate Cereal, 10 oz (Pack of 6)",Other,cereal,4.5,3,2015,12,7,20,32
477,Happy Baby 481408 Happybellies Organic Brown Rice Baby Cereal 7 Oz Case Of 6,Other,cereal,4.5,0,2015,12,7,20,32
478,"DreamWorks Penguins of Madagascar Operation Chocolate Mix Cereal, 14.5 oz",Other,cereal,5,1,2015,12,7,20,32
479,"Boo Berry Cereal, 15.7 oz",Other,cereal,3.5,7,2015,12,7,20,32
480,"Wild Oats Marketplace Originals Apple & Honey Oats & Grain Cereal, 10 oz",Other,cereal,3.5,0,2015,12,7,20,32
481,"Nature's Path Organic Whole O's Cereal, 26.4 oz",Other,cereal,5,1,2015,12,7,20,32
